"Step","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss__MIN","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss__MAX","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss__MIN","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss__MAX","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss__MIN","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss__MAX","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss__MIN","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss__MAX","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss__MIN","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss__MAX","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss__MIN","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss__MAX","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss__MIN","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss__MAX"
"272","","","","0.4919","0.4919","0.4919","0.4685","0.4685","0.4685","","","","","","","","","","","","","","","","","","","","",""
"273","","","","0.514","0.514","0.514","0.4884","0.4884","0.4884","","","","","","","","","","","","","","","","","","","","",""
"274","","","","0.5205","0.5205","0.5205","0.496","0.496","0.496","","","","","","","","","","","","","","","","","","","","",""
"275","","","","0.4965","0.4965","0.4965","0.4712","0.4712","0.4712","","","","","","","","","","","","","","","","","","","","",""
"276","","","","0.49","0.49","0.49","0.4675","0.4675","0.4675","","","","","","","","","","","","","","","","","","","","",""
"277","","","","0.5021","0.5021","0.5021","0.4778","0.4778","0.4778","","","","","","","","","","","","","","","","","","","","",""
"278","","","","0.4977","0.4977","0.4977","0.4742","0.4742","0.4742","","","","","","","","","","","","","","","","","","","","",""
"279","","","","0.5153","0.5153","0.5153","0.4889","0.4889","0.4889","","","","","","","","","","","","","","","","","","","","",""
"280","","","","0.5096","0.5096","0.5096","0.4838","0.4838","0.4838","","","","","","","","","","","","","","","","","","","","",""
"281","","","","0.4785","0.4785","0.4785","0.4562","0.4562","0.4562","","","","","","","","","","","","","","","","","","","","",""
"282","","","","0.5014","0.5014","0.5014","0.4755","0.4755","0.4755","","","","","","","","","","","","","","","","","","","","",""
"283","","","","0.4877","0.4877","0.4877","0.4614","0.4614","0.4614","","","","","","","","","","","","","","","","","","","","",""
"284","","","","0.5088","0.5088","0.5088","0.4825","0.4825","0.4825","","","","","","","","","","","","","","","","","","","","",""
"285","","","","0.482","0.482","0.482","0.4585","0.4585","0.4585","","","","","","","","","","","","","","","","","","","","",""
"286","","","","0.5263","0.5263","0.5263","0.5015","0.5015","0.5015","","","","","","","","","","","","","","","","","","","","",""
"287","","","","0.4992","0.4992","0.4992","0.4752","0.4752","0.4752","","","","","","","","","","","","","","","","","","","","",""
"288","","","","0.5083","0.5083","0.5083","0.4828","0.4828","0.4828","","","","","","","","","","","","","","","","","","","","",""
"289","","","","0.4966","0.4966","0.4966","0.4768","0.4768","0.4768","","","","","","","","","","","","","","","","","","","","",""
"290","","","","0.5196","0.5196","0.5196","0.4965","0.4965","0.4965","","","","","","","","","","","","","","","","","","","","",""
"291","","","","0.4604","0.4604","0.4604","0.4397","0.4397","0.4397","","","","","","","","","","","","","","","","","","","","",""
"292","","","","0.4834","0.4834","0.4834","0.4628","0.4628","0.4628","","","","","","","","","","","","","","","","","","","","",""
"293","","","","0.4966","0.4966","0.4966","0.4699","0.4699","0.4699","","","","","","","","","","","","","","","","","","","","",""
"294","","","","0.4903","0.4903","0.4903","0.4673","0.4673","0.4673","","","","","","","","","","","","","","","","","","","","",""
"295","","","","0.5019","0.5019","0.5019","0.4787","0.4787","0.4787","","","","","","","","","","","","","","","","","","","","",""
"296","","","","0.4836","0.4836","0.4836","0.4609","0.4609","0.4609","","","","","","","","","","","","","","","","","","","","",""
"297","","","","0.4935","0.4935","0.4935","0.4698","0.4698","0.4698","","","","","","","","","","","","","","","","","","","","",""
"298","","","","0.4937","0.4937","0.4937","0.4699","0.4699","0.4699","","","","","","","","","","","","","","","","","","","","",""
"299","","","","0.476","0.476","0.476","0.453","0.453","0.453","","","","","","","","","","","","","","","","","","","","",""
"300","","","","0.4939","0.4939","0.4939","0.4712","0.4712","0.4712","","","","","","","","","","","","","","","","","","","","",""
"301","","","","0.4969","0.4969","0.4969","0.4733","0.4733","0.4733","","","","","","","","","","","","","","","","","","","","",""
"302","","","","0.5027","0.5027","0.5027","0.4786","0.4786","0.4786","","","","","","","","","","","","","","","","","","","","",""
"303","","","","0.4833","0.4833","0.4833","0.4598","0.4598","0.4598","","","","","","","","","","","","","","","","","","","","",""
"304","","","","0.5134","0.5134","0.5134","0.4914","0.4914","0.4914","","","","","","","","","","","","","","","","","","","","",""
"305","","","","0.5113","0.5113","0.5113","0.4856","0.4856","0.4856","","","","","","","","","","","","","","","","","","","","",""
"306","","","","0.5059","0.5059","0.5059","0.4813","0.4813","0.4813","","","","","","","","","","","","","","","","","","","","",""
"307","","","","0.4974","0.4974","0.4974","0.4729","0.4729","0.4729","","","","","","","","","","","","","","","","","","","","",""
"308","","","","0.4772","0.4772","0.4772","0.4544","0.4544","0.4544","","","","","","","","","","","","","","","","","","","","",""
"309","","","","0.4822","0.4822","0.4822","0.4608","0.4608","0.4608","","","","","","","","","","","","","","","","","","","","",""
"310","","","","0.4949","0.4949","0.4949","0.4696","0.4696","0.4696","","","","","","","","","","","","","","","","","","","","",""
"311","","","","0.4861","0.4861","0.4861","0.4598","0.4598","0.4598","","","","","","","","","","","","","","","","","","","","",""
"312","","","","0.5042","0.5042","0.5042","0.4796","0.4796","0.4796","","","","","","","","","","","","","","","","","","","","",""
"313","","","","0.4541","0.4541","0.4541","0.4337","0.4337","0.4337","","","","","","","","","","","","","","","","","","","","",""
"314","","","","0.4886","0.4886","0.4886","0.4655","0.4655","0.4655","","","","","","","","","","","","","","","","","","","","",""
"315","","","","0.4904","0.4904","0.4904","0.4655","0.4655","0.4655","","","","","","","","","","","","","","","","","","","","",""
"316","","","","0.4732","0.4732","0.4732","0.4518","0.4518","0.4518","","","","","","","","","","","","","","","","","","","","",""
"317","","","","0.491","0.491","0.491","0.4671","0.4671","0.4671","","","","","","","","","","","","","","","","","","","","",""
"318","","","","0.4918","0.4918","0.4918","0.4681","0.4681","0.4681","","","","","","","","","","","","","","","","","","","","",""
"319","","","","0.48","0.48","0.48","0.4569","0.4569","0.4569","","","","","","","","","","","","","","","","","","","","",""
"320","","","","0.5039","0.5039","0.5039","0.4801","0.4801","0.4801","","","","","","","","","","","","","","","","","","","","",""
"321","","","","0.4845","0.4845","0.4845","0.4604","0.4604","0.4604","","","","","","","","","","","","","","","","","","","","",""
"322","","","","0.4653","0.4653","0.4653","0.4432","0.4432","0.4432","","","","","","","","","","","","","","","","","","","","",""
"323","","","","0.4662","0.4662","0.4662","0.4446","0.4446","0.4446","","","","","","","","","","","","","","","","","","","","",""
"324","","","","0.5028","0.5028","0.5028","0.4751","0.4751","0.4751","","","","","","","","","","","","","","","","","","","","",""
"325","","","","0.4991","0.4991","0.4991","0.4757","0.4757","0.4757","","","","","","","","","","","","","","","","","","","","",""
"326","","","","0.487","0.487","0.487","0.463","0.463","0.463","","","","","","","","","","","","","","","","","","","","",""
"327","","","","0.492","0.492","0.492","0.4696","0.4696","0.4696","","","","","","","","","","","","","","","","","","","","",""
"328","","","","0.4961","0.4961","0.4961","0.4707","0.4707","0.4707","","","","","","","","","","","","","","","","","","","","",""
"329","","","","0.4772","0.4772","0.4772","0.4543","0.4543","0.4543","","","","","","","","","","","","","","","","","","","","",""
"330","","","","0.4732","0.4732","0.4732","0.4507","0.4507","0.4507","","","","","","","","","","","","","","","","","","","","",""
"331","","","","0.4818","0.4818","0.4818","0.4597","0.4597","0.4597","","","","","","","","","","","","","","","","","","","","",""
"332","","","","0.49","0.49","0.49","0.4654","0.4654","0.4654","","","","","","","","","","","","","","","","","","","","",""
"333","","","","0.4958","0.4958","0.4958","0.4726","0.4726","0.4726","","","","","","","","","","","","","","","","","","","","",""
"334","","","","0.5024","0.5024","0.5024","0.4778","0.4778","0.4778","","","","","","","","","","","","","","","","","","","","",""
"335","","","","0.4789","0.4789","0.4789","0.4573","0.4573","0.4573","","","","","","","","","","","","","","","","","","","","",""
"336","","","","0.4872","0.4872","0.4872","0.4637","0.4637","0.4637","","","","","","","","","","","","","","","","","","","","",""
"337","","","","0.4731","0.4731","0.4731","0.4484","0.4484","0.4484","","","","","","","","","","","","","","","","","","","","",""
"338","","","","0.5041","0.5041","0.5041","0.4812","0.4812","0.4812","","","","","","","","","","","","","","","","","","","","",""
"339","","","","0.4941","0.4941","0.4941","0.4701","0.4701","0.4701","","","","","","","","","","","","","","","","","","","","",""
"340","","","","0.4815","0.4815","0.4815","0.458","0.458","0.458","","","","","","","","","","","","","","","","","","","","",""
"341","","","","0.4723","0.4723","0.4723","0.4494","0.4494","0.4494","","","","","","","","","","","","","","","","","","","","",""
"342","","","","0.4794","0.4794","0.4794","0.4551","0.4551","0.4551","","","","","","","","","","","","","","","","","","","","",""
"343","","","","0.4859","0.4859","0.4859","0.4626","0.4626","0.4626","","","","","","","","","","","","","","","","","","","","",""
"344","","","","0.4971","0.4971","0.4971","0.4718","0.4718","0.4718","","","","","","","","","","","","","","","","","","","","",""
"345","","","","0.4706","0.4706","0.4706","0.4477","0.4477","0.4477","","","","","","","","","","","","","","","","","","","","",""
"346","","","","0.5105","0.5105","0.5105","0.4872","0.4872","0.4872","","","","","","","","","","","","","","","","","","","","",""
"347","","","","0.482","0.482","0.482","0.4585","0.4585","0.4585","","","","","","","","","","","","","","","","","","","","",""
"348","","","","0.4992","0.4992","0.4992","0.4765","0.4765","0.4765","","","","","","","","","","","","","","","","","","","","",""
"349","","","","0.487","0.487","0.487","0.4638","0.4638","0.4638","","","","","","","","","","","","","","","","","","","","",""
"350","","","","0.4718","0.4718","0.4718","0.4496","0.4496","0.4496","","","","","","","","","","","","","","","","","","","","",""
"351","","","","0.4916","0.4916","0.4916","0.4692","0.4692","0.4692","","","","","","","","","","","","","","","","","","","","",""
"352","","","","0.4847","0.4847","0.4847","0.4622","0.4622","0.4622","","","","","","","","","","","","","","","","","","","","",""
"353","","","","0.4676","0.4676","0.4676","0.4468","0.4468","0.4468","","","","","","","","","","","","","","","","","","","","",""
"354","","","","0.4835","0.4835","0.4835","0.4597","0.4597","0.4597","","","","","","","","","","","","","","","","","","","","",""
"355","","","","0.4968","0.4968","0.4968","0.4733","0.4733","0.4733","","","","","","","","","","","","","","","","","","","","",""
"356","","","","0.4889","0.4889","0.4889","0.4676","0.4676","0.4676","","","","","","","","","","","","","","","","","","","","",""
"357","","","","0.4843","0.4843","0.4843","0.4618","0.4618","0.4618","","","","","","","","","","","","","","","","","","","","",""
"358","","","","0.4816","0.4816","0.4816","0.4601","0.4601","0.4601","","","","","","","","","","","","","","","","","","","","",""
"359","","","","0.4691","0.4691","0.4691","0.4489","0.4489","0.4489","","","","","","","","","","","","","","","","","","","","",""
"360","","","","0.4837","0.4837","0.4837","0.4622","0.4622","0.4622","","","","","","","","","","","","","","","","","","","","",""
"361","","","","0.4989","0.4989","0.4989","0.4741","0.4741","0.4741","","","","","","","","","","","","","","","","","","","","",""
"362","","","","0.5006","0.5006","0.5006","0.4743","0.4743","0.4743","","","","","","","","","","","","","","","","","","","","",""
"363","","","","0.4835","0.4835","0.4835","0.4607","0.4607","0.4607","","","","","","","","","","","","","","","","","","","","",""
"364","","","","0.4812","0.4812","0.4812","0.4593","0.4593","0.4593","","","","","","","","","","","","","","","","","","","","",""
"365","","","","0.4826","0.4826","0.4826","0.4609","0.4609","0.4609","","","","","","","","","","","","","","","","","","","","",""
"366","","","","0.4784","0.4784","0.4784","0.4544","0.4544","0.4544","","","","","","","","","","","","","","","","","","","","",""
"367","","","","0.4811","0.4811","0.4811","0.4563","0.4563","0.4563","","","","","","","","","","","","","","","","","","","","",""
"368","","","","0.4887","0.4887","0.4887","0.4661","0.4661","0.4661","","","","","","","","","","","","","","","","","","","","",""
"369","","","","0.4854","0.4854","0.4854","0.4615","0.4615","0.4615","","","","","","","","","","","","","","","","","","","","",""
"370","","","","0.4838","0.4838","0.4838","0.4609","0.4609","0.4609","","","","","","","","","","","","","","","","","","","","",""
"371","","","","0.4468","0.4468","0.4468","0.4262","0.4262","0.4262","","","","","","","","","","","","","","","","","","","","",""
"372","","","","0.4813","0.4813","0.4813","0.4591","0.4591","0.4591","","","","","","","","","","","","","","","","","","","","",""
"373","","","","0.4711","0.4711","0.4711","0.4517","0.4517","0.4517","","","","","","","","","","","","","","","","","","","","",""
"374","","","","0.4642","0.4642","0.4642","0.4422","0.4422","0.4422","","","","","","","","","","","","","","","","","","","","",""
